time,N,Time,avg(Acceleration (0)),avg(Acceleration (1)),avg(Acceleration (2)),avg(Acceleration (Magnitude)),avg(Pressure),avg(Velocity (0)),avg(Velocity (1)),avg(Velocity (2)),avg(Velocity (Magnitude)),avg(X),avg(Y),avg(Z),avg(abs),avg(height),
9.101,1,81,-1.3197,-0.496464,0,1.40999,8067.92,1.20991,-0.575896,0,1.33997,4.70303,3.20421,0,1.20991,3.20421,
9.213,1,82,1.59741,1.89118,0,2.47554,15056.2,1.74351,0.084679,0,1.74556,6.51673,3.14009,0,1.74351,3.14009,
9.326,1,83,1.08154,-0.341993,0,1.13433,10097.8,1.91952,0.195579,0,1.92946,6.72312,3.15788,0,1.91952,3.15788,
9.438,1,84,0.740732,-4.57704,0,4.63659,2795.15,2.03186,-0.130121,0,2.03602,6.94562,3.16672,0,2.03186,3.16672,
9.551,1,85,-0.80311,-3.29845,0,3.39481,1592.64,2.3287,-0.178647,0,2.33554,8.69348,3.20788,0,2.3287,3.20788,
9.663,1,86,-1.57292,0.559203,0,1.66937,7002.39,2.23052,-0.217499,0,2.2411,8.95122,3.18201,0,2.23052,3.18201,
9.775,1,87,-2.53229,-1.44679,0,2.91646,5460.34,2.00324,-0.229117,0,2.0163,9.19005,3.15943,0,2.00324,3.15943,
9.888,1,88,-1.51582,-2.31296,0,2.76541,7699.4,1.77389,-0.411947,0,1.82109,9.40177,3.12508,0,1.77389,3.12508,
10.000,1,89,-2.25609,-0.083009,0,2.25762,5751.81,2.37752,1.51081,0,2.81694,11.4036,3.07677,0,2.37752,3.07677,
10.112,1,90,-0.578998,-4.01317,0,4.05472,792.765,2.22122,1.33461,0,2.59133,11.6619,3.24227,0,2.22122,3.24227,
10.225,1,91,-0.4684,-6.42394,0,6.441,-2736,2.2001,0.737883,0,2.32054,11.9098,3.36284,0,2.2001,3.36284,
10.337,1,92,-0.276995,-2.5063,0,2.52156,611.381,2.16472,0.272467,0,2.18179,12.1522,3.41657,0,2.16472,3.41657,
10.449,1,93,0.879547,-3.30896,0,3.42386,1918.05,2.28105,0.02687,0,2.28121,12.3986,3.43523,0,2.28105,3.43523,
10.562,1,94,-0.021091,-6.43959,0,6.43963,560.571,2.35693,-0.580664,0,2.4274,12.6596,3.40917,0,2.35693,3.40917,
10.674,1,95,1.31103,-2.55449,0,2.87127,7225.52,2.44852,-1.14776,0,2.70418,12.9296,3.30879,0,2.44852,3.30879,
10.787,1,96,0.5391,-0.966952,0,1.10708,7639.83,2.13734,0.427574,0,2.17969,14.4198,3.18719,0,2.13734,3.18719,
10.899,1,97,0.001841,1.41723,0,1.41724,10587.3,2.20829,0.498797,0,2.26392,14.6662,3.23708,0,2.20829,3.23708,
11.011,1,98,-0.458102,-0.95373,0,1.05804,7100.33,2.22375,0.570053,0,2.29565,14.9165,3.2998,0,2.22375,3.2998,
11.124,1,99,-0.417538,-3.90159,0,3.92386,4378.72,2.20956,0.27594,0,2.22672,15.1671,3.35152,0,2.20956,3.35152,
11.236,1,100,-0.458866,-3.12679,0,3.16028,6363.65,2.18666,-0.13319,0,2.19071,15.4167,3.36001,0,2.18666,3.36001,
11.348,1,101,0.057914,-4.97065,0,4.97099,-2002.79,0.715891,0.621751,0,0.948195,16.8352,3.58537,0,0.715891,3.58537,
11.461,1,102,-1.18736,0.071704,0,1.18952,7311.74,0.590675,0.39392,0,0.709979,16.9098,3.63772,0,0.590675,3.63772,
11.573,1,103,-0.895706,-2.36457,0,2.52854,6819.22,0.441122,0.332663,0,0.552497,16.9675,3.68156,0,0.441122,3.68156,
11.685,1,104,-4.73412,0.069801,0,4.73464,12049.1,1.09726,0.707273,0,1.30545,17.87,3.55157,0,1.09726,3.55157,
11.798,1,105,1.04996,-5.20744,0,5.31223,-1699.37,0.522155,1.99726,0,2.06438,18.7883,3.8021,0,0.522155,3.8021,
11.910,1,106,-2.52913,-1.11915,0,2.76568,3253.7,0.454982,0.514424,0,0.686761,18.0315,3.69588,0,0.454982,3.69588,
12.022,1,107,-0.15306,-5.36304,0,5.36523,387.019,0.626582,0.586905,0,0.858523,18.9208,4.09424,0,0.626582,4.09424,
12.135,1,108,-1.57679,-3.46603,0,3.80784,5047.17,0.539903,0.126831,0,0.5546,18.9875,4.13357,0,0.539903,4.13357,
12.247,1,109,-2.76553,-2.98777,0,4.07123,4917.05,0.298548,-0.234108,0,0.379391,19.0366,4.12816,0,0.298548,4.12816,
12.360,1,110,-1.10679,0.327006,0,1.15409,11363.3,-0.596226,-0.594464,0,0.841946,17.9686,3.6681,0,0.596226,3.6681,
12.472,1,111,-3.51013,-3.16671,0,4.72748,10240,-0.451083,-0.884661,0,0.993026,19.0253,4.00547,0,0.451083,4.00547,
12.584,1,112,-2.90194,-2.05939,0,3.55841,12771.4,-0.804751,-1.19055,0,1.43702,18.9559,3.88977,0,0.804751,3.88977,
12.697,1,113,-2.83781,-0.185205,0,2.84385,14028.5,-1.12555,-1.28317,0,1.70687,18.8495,3.75065,0,1.12555,3.75065,
12.809,1,114,-1.46098,-1.39328,0,2.01884,12414.7,-1.38852,-1.34432,0,1.93266,18.7081,3.60525,0,1.38852,3.60525,
12.921,1,115,1.02175,-2.08039,0,2.31775,11685.4,-1.41819,-1.56269,0,2.11027,18.5482,3.44367,0,1.41819,3.44367,
13.034,1,116,-1.07602,-4.08227,0,4.2217,3627.76,-1.51619,0.196789,0,1.52891,16.0424,3.29323,0,1.51619,3.29323,
13.146,1,117,-1.43445,-2.36302,0,2.76433,6433.32,-1.65838,-0.169708,0,1.66704,15.8649,3.29398,0,1.65838,3.29398,
13.258,1,118,0.561682,0.050058,0,0.563908,15191.3,-1.71022,-0.269611,0,1.73134,15.674,3.26722,0,1.71022,3.26722,
13.371,1,119,1.93406,-0.369932,0,1.96912,16348.2,-1.54202,-0.262824,0,1.56426,15.4897,3.23791,0,1.54202,3.23791,
13.483,1,120,0.901979,-1.78893,0,2.00345,11575.4,-1.38207,-0.398368,0,1.43834,15.3253,3.20242,0,1.38207,3.20242,
13.596,1,121,0.328653,-1.44529,0,1.48218,10358.1,-1.31985,-0.58742,0,1.44467,15.1723,3.14662,0,1.31985,3.14662,
13.708,1,122,0.645544,-0.238412,0,0.688162,10826,-1.26769,-0.682386,0,1.43968,15.0245,3.07329,0,1.26769,3.07329,
13.820,1,123,-0.50237,-0.561472,0,0.75341,11522.9,-1.57841,0.104473,0,1.58187,12.6225,3.03965,0,1.57841,3.03965,
13.933,1,124,1.36098,0.5979,0,1.48652,13255.6,-1.52802,0.124195,0,1.53306,12.4448,3.05126,0,1.52802,3.05126,
14.045,1,125,1.17224,-1.26232,0,1.72267,10893.4,-1.37282,0.118625,0,1.37794,12.2798,3.06724,0,1.37282,3.06724,
14.157,1,126,0.630702,-3.79364,0,3.84571,7072.88,-1.27883,-0.185899,0,1.29227,12.1295,3.067,0,1.27883,3.067,
